,title,n_enrolled,level,language,rating,price,sales
948,Designing and Leading Learning Systems,11895.0,Advanced,English,1,199.0,2367105.0
949,How the U.S. Government Works & How to Get Involved,5930.0,Introductory,English,1,49.0,290570.0
950,Inspiring and Motivating Arts and Culture Teams,10817.0,Introductory,English,1,49.0,530033.0
952,A System View of Communications: From Signals to Packets (Part 1),34261.0,Introductory,English,1,60.0,2055660.0
953,"Invasions, Rebellions, and the Fall of Imperial China",41537.0,Introductory,English,2,139.0,5773643.0
954,AP® English Literature & Composition – Part 3: Plays,6443.0,Introductory,English,1,49.0,315707.0
955,Cómo implantar grupos de mejora de procesos,28100.0,Introductory,Español,1,150.0,4215000.0
956,Proteins: Biology's Workforce,25893.0,Intermediate,English,1,169.0,4375917.0
957,Introducción a los ritmos y relojes biológicos,6149.0,Introductory,Español,1,50.0,307450.0
959,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",10205.0,Advanced,English,1,169.0,1724645.0
960,Fundamentos de Electromagnetismo para Ingeniería,15040.0,Introductory,Español,1,49.0,736960.0
961,Sustainable Food Systems: A Mediterranean Perspective,6480.0,Intermediate,English,1,49.0,317520.0
963,Using GPUs to Scale and Speed-up Deep Learning,9294.0,Intermediate,English,1,99.0,920106.0
964,StudioX: Creating a Course with edX Studio,20355.0,Introductory,English,1,99.0,2015145.0
966,Introducción a las ondas gravitacionales,8657.0,Introductory,Español,1,50.0,432850.0
969,Global China: From the Mongols to the Ming,41902.0,Introductory,English,2,139.0,5824378.0
972,Computational Neuroscience: Neuronal Dynamics of Cognition,11246.0,Advanced,English,1,139.0,1563194.0
973,Cities and the Challenge of Sustainable Development,8775.0,Introductory,English,1,25.0,219375.0
