,title,n_enrolled,level,language,rating,price,sales
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,2602,Beginner,German,2,150,390300
94,Intermediate Options trading concepts for Stocks and Options,2000,All,English,2,40,80000
95,Options Trading 101: The Basics,1514,Beginner,English,1,0,0
96,Practical Accounts APP Overview,1361,Intermediate,English,1,20,27220
97,Bitcoin Profits for Beginners,61,Beginner,English,1,100,6100
98,Trend Traders Club: How To Find And Trade Fast Moving Trends,1513,All,English,1,75,113475
99,Financial Statements Basics,1374,Beginner,Catalan,1,20,27480
100,High performance Stock Trading using key Options techniques,2103,All,English,2,40,84120
101,Introduction to Financial Statement Analysis,1480,Beginner,English,1,20,29600
102,Basics of Economics (College Level),2516,All,English,2,25,62900
104,Accounting for Beginners : Learn Basics in under 1 Hour,1971,Beginner,English,2,50,98550
105,Straddle Options Trading - Profit in Any Market Direction,837,All,English,1,200,167400
107,"Binary Options: Trading Strategies, 90% Accuracy and Signals",1723,Beginner,English,1,195,335985
108,Website Investing 101 - Buying & Selling Online Businesses,6811,All,German,4,0,0
109,Practical Accounts & Bookkeeping Automated Overview ,2060,All,English,2,20,41200
110,Live Account - ETF Trading System - Hacking The Stock Market,2318,All,English,2,150,347700
111,Stock Market Leverage: How to Start Trading Options Wisely,2153,Beginner,English,2,95,204535
113,Crash Course on Working Capital Management,3177,All,English,2,20,63540
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,1535,All,English,1,150,230250
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,1027,All,English,1,20,20540
116,How to create a routine Trading,307,All,English,1,25,7675
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",2096,All,English,2,150,314400
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,1315,Beginner,English,1,50,65750
120,Quantitative Aptitude for Banking & Competitive Examinations,1056,All,English,1,50,52800
121,Option Spreads and Credit Spreads Bundle,2212,Expert,English,2,180,398160
122,B Com Accountancy I (Paper ECO 02 IGNOU),2946,All,English,2,50,147300
123,FOREX TRADING - Learn in a quick + profitable way + support,271,All,English,1,100,27100
124,Auditing Basics (Professional Course Level),3771,All,English,2,25,94275
125,Stock market Investing Encyclopedia: How to invest in stocks,3143,Intermediate,English,2,200,628600
126,Learn the basics of preparing accounting statements,1951,Intermediate,English,1,20,39020
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,4022,Expert,English,3,90,361980
129,Excel functions to analyze and visualize data,2283,Intermediate,Italian,2,20,45660
130,Building Financial Statements in Excel,1181,Beginner,English,1,35,41335
131,Transfer Pricing A Complete Analysis,1852,All,English,1,50,92600
132,Accounting: Get Hired Without Work Experience,4661,All,English,3,100,466100
133,Forex Trading for Beginners - Basics,989,All,English,1,50,49450
134,Basic Bookkeeping Hacks,5841,All,Afrikaans,3,20,116820
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),1087,All,English,1,200,217400
136,"Forex Trading with Fixed 'Risk through Options Trading""",611,Beginner,English,1,200,122200
